category,presence
accessories,Both (Web & Catalog)
as seen on  tv!,Both (Web & Catalog)
baseball & softball,Both (Web & Catalog)
basketball,Both (Web & Catalog)
boxing & mma,Both (Web & Catalog)
camping & hiking,Both (Web & Catalog)
cardio equipment,Both (Web & Catalog)
cleats,Both (Web & Catalog)
electronics,Both (Web & Catalog)
featured shops,Both (Web & Catalog)
fishing,Both (Web & Catalog)
fitness accessories,Both (Web & Catalog)
girls' apparel,Both (Web & Catalog)
golf apparel,Both (Web & Catalog)
golf bags & carts,Both (Web & Catalog)
golf balls,Both (Web & Catalog)
golf gloves,Both (Web & Catalog)
golf shoes,Both (Web & Catalog)
hockey,Both (Web & Catalog)
hunting & shooting,Both (Web & Catalog)
indoor/outdoor games,Both (Web & Catalog)
kids' golf clubs,Both (Web & Catalog)
lacrosse,Both (Web & Catalog)
men's footwear,Both (Web & Catalog)
men's golf clubs,Both (Web & Catalog)
shop by sport,Both (Web & Catalog)
soccer,Both (Web & Catalog)
strength training,Both (Web & Catalog)
tennis & racquet,Both (Web & Catalog)
trade-in,Both (Web & Catalog)
water sports,Both (Web & Catalog)
women's apparel,Both (Web & Catalog)
women's golf clubs,Both (Web & Catalog)
bike & skate shop,Catalog Only (no web traffic)
boating,Catalog Only (no web traffic)
boys' apparel,Catalog Only (no web traffic)
football,Catalog Only (no web traffic)
international soccer,Catalog Only (no web traffic)
kids' footwear,Catalog Only (no web traffic)
men's apparel,Catalog Only (no web traffic)
mlb,Catalog Only (no web traffic)
mlb players,Catalog Only (no web traffic)
mls,Catalog Only (no web traffic)
more sports,Catalog Only (no web traffic)
nba,Catalog Only (no web traffic)
ncaa,Catalog Only (no web traffic)
nfl,Catalog Only (no web traffic)
nfl players,Catalog Only (no web traffic)
nhl,Catalog Only (no web traffic)
team shop,Catalog Only (no web traffic)
top brands,Catalog Only (no web traffic)
training by sport,Catalog Only (no web traffic)
women's footwear,Catalog Only (no web traffic)
world cup shop,Catalog Only (no web traffic)
yoga & pilates,Catalog Only (no web traffic)
indoor/outdoor games/product/o'brien men's neoprene life vest,Web Only
indoor/outdoor games/product/o'brien men's neoprene life vest/add_to_cart,Web Only
